id,xcor,ycor,size,capacity,hidden_places,info,has_lock
2.01,1,7,1,15,0,0,0
2.2,5,7,2,20,0,0,0
2.3,8,7,2,20,0,0,0
2.4,11,7,2,20,0,0,0
2.5,15,7,2,20,0,0,0
1798.6,19,7,3,30,0,1,0
3.1,2,5,3,15,0,0,0
5.01,2,10,3,15,0,0,0
7.1,5,5,1,10,0,0,0
7.2,8,5,1,10,0,0,0
7.3,6,2,3,40,10,0,0
11.1,7,10,2,20,0,0,0
11.2,5,13,2,20,2,0,0
13.1,11,5,2,20,0,0,0
13.2,11,2,2,20,2,0,0
17.1,11,10,3,30,0,0,0
17.2,11,13,3,30,2,0,0
19.1,15,5,2,20,0,0,0
19.2,15,2,2,20,2,0,0
23.1,15,10,2,20,0,0,0
23.2,15,13,2,20,2,0,0
29.1,19,4,2,20,0,0,0
29.2,23,4,2,20,0,0,0
29.3,27,4,2,20,0,0,0
29.4,32,4,2,20,0,0,0
29.5,36,4,2,20,0,0,0
29.6,39,4,2,30,0,1,0
31.1,19,11,2,20,0,0,0
31.2,23,11,2,20,0,0,0
31.3,26,11,2,20,0,0,0
31.4,29,11,2,20,0,0,0
31.5,32,11,2,20,0,0,0
31.6,36,11,2,20,0,1,0
31.7,39,11,2,20,0,1,0
37.1,17,5,1,10,0,0,0
41.1,17,9,1,10,0,0,0
43.1,18,2,2,20,1,0,0
47.1,21,2,2,20,1,0,0
53.1,24,2,2,20,1,0,0
59.1,27,2,1,10,1,0,0
61.1,29,2,2,20,1,0,0
67.1,31,2,2,20,1,0,0
71.1,33,2,1,10,1,0,0
73.1,35,2,1,10,1,0,1
79.1,37,2,1,10,1,0,1
83.1,38,2,1,10,1,0,1
89.1,40,2,2,20,1,0,1
97.1,17,13,2,20,1,0,0
101.1,19,13,2,20,1,0,0
103.1,22,13,2,10,1,0,0
107.1,25,13,2,20,1,0,0
109.1,27,13,1,20,1,0,0
113.1,29,13,1,10,1,0,0
127.1,30,13,1,10,1,0,1
131.1,32,13,1,10,1,0,1
137.1,33,13,1,10,1,0,1
139.1,35,13,1,20,1,0,1
149.1,37,13,1,10,1,0,1
151.1,38,13,1,10,1,0,1
157.1,40,13,2,10,1,0,1
163.1,22,6,1,10,1,0,0
167.1,21,9,1,10,1,0,0
173.1,24,6,1,15,1,0,0
173.2,24,9,1,15,1,0,0
179.1,28,6,1,15,1,0,0
181.1,27,9,1,15,1,0,0
191.1,31,6,1,15,1,0,0
193.1,31,9,1,15,1,0,0
197.1,34,6,1,15,1,0,0
197.2,34,9,1,15,1,0,0
204073.1,37,7,1,50,1,0,0
211.1,39,6,2,30,1,0,1
223.1,39,9,2,30,1,0,1
227.01,42,7,2,30,1,0,0
