node1,node2,dist,visibility,sound,transitability,lockable,flow
2.01,2.2,4,1,1,1,0,30
2.01,2.3,7,0.8,0.66,0,0,0
2.01,2.4,9,0.6,0.33,0,0,0
2.01,2.5,14,0.5,0,0,0,0
2.01,1798.6,18,0.4,0,0,0,0
2.01,3.1,4,1,1,1,0,2.5
2.01,5.01,4,1,1,1,0,15
2.01,7.1,6,0,0.66,0,0,0
2.01,7.2,8,0,0.66,0,0,0
2.01,7.3,8,0,0.66,0,0,0
2.01,11.1,8,0,0.66,0,0,0
2.01,11.2,8,0,0.66,0,0,0
2.01,13.1,9,0,0.33,0,0,0
2.01,13.2,10,0,0.33,0,0,0
2.01,17.1,9,0,0.33,0,0,0
2.01,17.2,10,0,0.33,0,0,0
2.2,2.01,4,1,1,1,0,20
2.2,2.3,4,1,1,1,0,20
2.2,2.4,7,0.8,0.66,0,0,0
2.2,2.5,11,0.6,0.33,0,0,0
2.2,1798.6,15,0.5,0,0,0,0
2.2,3.1,4,1,1,1,0,2.5
2.2,5.01,4,1,1,1,0,20
2.2,7.1,4,1,1,1,0,2.5
2.2,7.2,7,0.6,0.66,0,0,0
2.2,7.3,9,0.6,0.66,0,0,0
2.2,11.1,4,0,0.66,0,0,0
2.2,11.2,4,0,0.66,0,0,0
2.2,13.1,11,0,0.66,0,0,0
2.2,13.2,15,0,0.33,0,0,0
2.2,17.1,11,0,0.66,0,0,0
2.2,17.2,15,0,0.33,0,0,0
2.2,19.1,17,0,0.33,0,0,0
2.2,23.1,17,0,0.33,0,0,0
2.3,2.01,7,0.8,0.66,0,0,0
2.3,2.2,4,1,1,1,0,20
2.3,2.4,3,1,1,1,0,20
2.3,2.5,10,0.8,0.66,0,0,0
2.3,1798.6,15,0.6,0.33,0,0,0
2.3,3.1,9,0,0.66,0,0,0
2.3,5.01,9,0,0.66,0,0,0
2.3,7.1,4,0,1,0,0,0
2.3,7.2,3,0,1,0,0,0
2.3,7.3,9,0,0.66,0,0,0
2.3,11.1,4,1,1,1,0,2.5
2.3,11.2,9,0.8,0.66,0,0,0
2.3,13.1,6,0,0.66,0,0,0
2.3,13.2,9,0,0.66,0,0,0
2.3,17.1,6,0,0.66,0,0,0
2.3,17.2,9,0,0.66,0,0,0
2.3,19.1,10,0,0.66,0,0,0
2.3,19.2,11,0,0.33,0,0,0
2.3,23.1,10,0,0.66,0,0,0
2.3,23.2,11,0,0.33,0,0,0
2.3,29.1,15,0,0.33,0,0,0
2.3,31.1,15,0,0.33,0,0,0
2.3,37.1,13,0,0.33,0,0,0
2.3,41.1,13,0,0.33,0,0,0
2.3,43.1,15,0,0.33,0,0,0
2.3,97.1,15,0,0.33,0,0,0
2.4,2.01,10,0.6,0.33,0,0,0
2.4,2.2,7,0.8,0.66,0,0,0
2.4,2.3,3,1,1,1,0,20
2.4,2.5,6,0.9,0.9,1,0,20
2.4,1798.6,9,0.6,0.33,0,0,0
2.4,3.1,10,0,0.66,0,0,0
2.4,5.01,10,0,0.66,0,0,0
2.4,7.1,7,0,0.66,0,0,0
2.4,7.2,4,1,1,1,0,2.5
2.4,7.3,9,0.8,0.66,0,0,0
2.4,11.1,5,0,0.66,0,0,0
